SSN,AGE,GENDER,RACE,ETHNICITY,BMI,SYSTOLIC_BP,DIASTOLIC_BP,GLUCOSE,ICD_PRIMARY,ICD_SECONDARY,ENCOUNTER_TYPE,LOS_DAYS,TOTAL_CLAIM_COST,PAYER_TYPE,CITY,POSTAL_PREFIX
954-90-9664,85,F,White,Non-Hispanic,23.7,133,86,92.8,M54.5,,outpatient,2.0,5703.59,Private,Aurora,L5G
805-55-3440,69,M,White,Non-Hispanic,23.5,139,77,103.4,F41.1,Z79.4,preventive,4.7,5643.35,OHIP,Bradford,L5G
734-58-1515,41,F,White,Non-Hispanic,23.0,107,63,147.0,I10,,outpatient,2.4,954.51,OHIP,King,L5G
287-38-4669,35,F,White,Hispanic,20.9,119,82,132.1,F32.1,Z96.651,preventive,0.9,367.08,OHIP,East Gwillimbury,L5G
146-86-3390,60,F,White,Non-Hispanic,20.5,134,84,79.2,E11.9,,outpatient,0.4,399.23,OHIP,Georgina,L4G
290-40-3866,28,F,White,Non-Hispanic,46.8,129,78,212.6,J44.1,Z82.49,inpatient,5.2,137.43,OHIP,Georgina,L5G
780-45-9948,84,F,White,Non-Hispanic,22.3,127,96,90.6,M54.5,Z96.651,inpatient,0.2,2087.83,OHIP,Aurora,L6G
523-69-5578,73,M,South Asian,Non-Hispanic,36.7,161,92,104.2,E78.5,,inpatient,1.6,630.38,OHIP,Newmarket,L3G
315-39-9093,43,F,South Asian,Non-Hispanic,29.7,131,71,60.2,I10,Z96.651,telehealth,0.8,1124.07,OHIP,King,L3G
766-49-4533,21,M,White,Non-Hispanic,24.5,132,62,104.8,I10,,telehealth,0.6,992.77,OHIP,East Gwillimbury,L6G
144-84-5270,76,M,White,Non-Hispanic,27.9,139,91,97.2,N39.0,Z87.891,preventive,2.1,287.97,Self-pay,Barrie,L4G
445-65-8733,49,M,Other,Non-Hispanic,31.7,124,82,87.0,J44.1,Z96.651,outpatient,0.5,248.32,OHIP,King,L3G
440-18-7005,74,M,White,Non-Hispanic,22.8,141,84,101.4,M54.5,Z82.49,outpatient,5.0,386.26,OHIP,Keswick,L6G
850-74-3261,23,M,South Asian,Hispanic,24.8,117,64,108.3,J45.901,Z79.4,inpatient,1.0,1191.38,OHIP,Innisfil,L6G
598-22-7693,41,M,White,Non-Hispanic,23.3,114,80,110.4,M54.5,Z96.641,preventive,2.3,603.71,OHIP,East Gwillimbury,L5G
596-54-9296,52,F,Black,Hispanic,32.2,149,74,95.2,N39.0,Z87.891,inpatient,2.6,79.97,Private,King,L3G
651-24-7577,52,F,Black,Non-Hispanic,23.0,124,77,99.9,N39.0,Z82.49,telehealth,2.3,194.62,OHIP,East Gwillimbury,L5G
741-62-4038,43,F,South Asian,Non-Hispanic,35.4,114,90,99.3,I50.9,Z87.891,telehealth,4.7,482.58,Private,Barrie,L4G
293-84-1058,63,M,Other,Non-Hispanic,24.6,148,75,113.5,N39.0,,inpatient,0.5,641.31,OHIP,Newmarket,L3G
962-35-5573,32,M,White,Non-Hispanic,22.7,117,60,100.7,E11.9,,preventive,0.2,1234.69,Workplace,Bradford,L3G
202-30-5644,49,F,White,Non-Hispanic,36.7,129,72,143.2,J44.1,,telehealth,0.1,697.23,OHIP,Innisfil,L6G
113-81-1220,54,M,Black,Hispanic,19.8,111,85,108.4,K92.1,Z79.4,preventive,4.2,430.41,OHIP,Innisfil,L3G
975-16-2196,61,M,Chinese,Hispanic,19.2,149,81,124.4,I10,Z96.651,emergency,7.2,413.02,OHIP,Newmarket,L4G
761-53-1335,64,F,White,Non-Hispanic,26.0,123,80,86.2,J06.9,,preventive,0.7,847.05,OHIP,Keswick,L4G
324-44-2247,31,M,White,Non-Hispanic,29.5,125,70,119.4,J45.901,,outpatient,2.4,1098.45,OHIP,Georgina,L3G
742-76-8111,24,F,White,Non-Hispanic,21.3,127,74,132.1,J06.9,Z96.651,inpatient,0.0,447.75,OHIP,Bradford,L6G
593-64-2604,74,F,White,Hispanic,25.0,144,77,87.2,J44.1,,outpatient,0.4,182.5,OHIP,Aurora,L4G
639-24-9560,57,M,Black,Non-Hispanic,24.1,132,81,91.7,E11.9,,outpatient,2.3,590.92,OHIP,Aurora,L5G
574-40-6351,38,M,White,Non-Hispanic,36.3,114,72,187.5,J44.1,Z82.49,preventive,0.1,304.96,OHIP,Bradford,L4G
949-63-1963,79,F,White,Non-Hispanic,40.1,141,82,104.9,I10,Z79.4,inpatient,1.3,939.26,OHIP,Keswick,L3G
274-51-6910,54,M,White,Non-Hispanic,26.4,134,74,67.1,E66.9,Z96.641,outpatient,2.2,3931.98,OHIP,Keswick,L5G
464-95-1576,73,M,White,Hispanic,21.0,129,79,87.5,K21.0,Z96.641,outpatient,2.9,131.38,OHIP,Barrie,L3G
188-63-1228,53,F,White,Non-Hispanic,25.3,133,78,90.9,E78.5,Z96.651,telehealth,1.2,2646.08,OHIP,Richmond Hill,L3G
878-72-1984,89,M,South Asian,Non-Hispanic,36.3,158,93,163.5,F32.1,,preventive,2.0,1167.77,OHIP,King,L3G
472-94-3467,83,F,Other,Non-Hispanic,24.3,152,56,89.4,E11.9,,outpatient,1.6,2498.41,Private,Keswick,L6G
925-29-9028,47,F,Chinese,Non-Hispanic,20.2,114,69,87.7,I10,Z79.4,telehealth,0.1,394.3,OHIP,Aurora,L6G
661-75-4145,69,M,White,Non-Hispanic,31.8,163,81,106.7,I10,Z79.4,outpatient,2.7,117.3,OHIP,Newmarket,L4G
368-24-8496,63,M,Latin American,Non-Hispanic,22.9,142,92,103.1,M54.5,Z82.49,emergency,0.4,825.21,OHIP,Aurora,L3G
894-17-4781,76,M,Chinese,Non-Hispanic,23.6,140,75,120.6,F32.1,,emergency,0.1,3567.51,OHIP,Richmond Hill,L5G
533-97-2218,34,M,Chinese,Hispanic,36.1,140,78,106.7,F32.1,Z96.641,preventive,1.2,186.3,OHIP,Bradford,L5G
135-30-3252,64,M,White,Non-Hispanic,31.6,163,95,78.5,M54.5,Z82.49,preventive,4.0,223.1,OHIP,Richmond Hill,L5G
919-20-1775,71,F,White,Non-Hispanic,22.8,123,72,92.4,K92.1,,outpatient,0.3,1345.66,OHIP,East Gwillimbury,L6G
156-55-9416,20,M,White,Hispanic,24.8,116,73,90.9,I10,Z87.891,inpatient,0.0,359.73,OHIP,King,L6G
485-73-2787,30,F,White,Non-Hispanic,23.9,98,66,98.8,N39.0,Z79.4,outpatient,0.2,4911.34,OHIP,East Gwillimbury,L3G
878-15-4915,15,F,White,Non-Hispanic,32.9,122,67,111.4,I10,Z96.641,inpatient,0.9,1454.61,OHIP,Barrie,L5G
419-64-2677,47,F,White,Non-Hispanic,32.7,136,73,97.8,F32.1,Z82.49,inpatient,1.7,280.6,OHIP,Keswick,L5G
694-14-6730,64,F,White,Non-Hispanic,27.5,136,76,97.8,I10,Z96.651,outpatient,0.4,337.79,OHIP,Barrie,L6G
892-59-5936,79,M,Black,Non-Hispanic,33.4,139,109,95.2,J06.9,Z87.891,inpatient,3.2,354.2,OHIP,Richmond Hill,L6G
477-80-1897,53,F,White,Hispanic,25.5,111,85,107.2,I10,Z82.49,outpatient,2.8,631.75,Private,East Gwillimbury,L5G
983-19-5587,81,F,White,Non-Hispanic,27.5,147,95,86.5,E11.9,Z96.651,inpatient,2.4,958.47,Private,Newmarket,L5G
741-69-2532,27,M,Arab,Non-Hispanic,27.7,137,76,73.1,I50.9,Z96.641,emergency,1.3,878.06,OHIP,King,L4G
491-67-8286,21,M,Arab,Non-Hispanic,23.4,112,57,104.7,E11.9,Z96.641,outpatient,0.9,172.49,OHIP,Newmarket,L6G
874-96-2351,51,F,Chinese,Non-Hispanic,22.4,134,80,100.6,J44.1,Z87.891,telehealth,0.9,1963.04,OHIP,Newmarket,L3G
120-56-8051,58,M,Other,Non-Hispanic,27.1,119,89,118.8,,Z96.651,outpatient,1.4,469.61,OHIP,Newmarket,L3G
814-57-1598,51,M,South Asian,Non-Hispanic,36.1,141,74,177.6,F32.1,Z79.4,inpatient,0.2,218.54,Self-pay,Bradford,L5G
131-12-5571,14,M,Other,Non-Hispanic,23.4,111,76,93.5,K21.0,,inpatient,2.3,381.59,OHIP,Keswick,L6G
935-66-7176,50,M,White,Non-Hispanic,22.8,121,82,96.6,J06.9,,outpatient,0.9,2246.59,Private,Keswick,L3G
998-13-1797,28,F,White,Hispanic,30.7,116,89,72.3,I10,Z96.641,outpatient,0.5,835.8,OHIP,East Gwillimbury,L6G
555-91-8311,64,F,White,Non-Hispanic,25.1,132,78,93.7,E11.9,,preventive,0.7,928.04,Workplace,Newmarket,L5G
891-98-9980,58,F,White,Non-Hispanic,39.8,144,75,112.8,E78.5,Z79.4,inpatient,0.4,163.37,OHIP,Innisfil,L5G
619-45-7779,35,M,White,Non-Hispanic,23.1,110,70,126.3,J44.1,Z79.4,outpatient,4.6,779.52,OHIP,King,L5G
108-49-8102,42,M,South Asian,Non-Hispanic,22.2,121,86,109.7,F41.1,,outpatient,0.4,2201.82,OHIP,Innisfil,L6G
600-77-6785,32,F,Chinese,Non-Hispanic,21.9,121,57,90.1,J44.1,Z82.49,preventive,4.3,76.43,Private,Barrie,L3G
523-12-2913,50,M,South Asian,Non-Hispanic,36.4,125,64,113.9,K21.0,,outpatient,1.7,417.07,OHIP,East Gwillimbury,L4G
876-41-6570,69,M,White,Non-Hispanic,19.9,153,81,162.0,Z00.00,Z82.49,preventive,4.0,1405.03,Workplace,King,L3G
615-15-1328,34,F,Chinese,Non-Hispanic,38.8,122,74,160.4,N39.0,Z96.641,outpatient,1.3,804.24,OHIP,Richmond Hill,L6G
893-11-7513,61,M,South Asian,Hispanic,26.5,128,81,86.3,F32.1,Z79.4,inpatient,5.3,195.87,OHIP,East Gwillimbury,L3G
696-95-2410,42,F,White,Hispanic,22.1,116,82,92.5,J06.9,Z82.49,outpatient,0.5,1072.68,WSIB,Barrie,L4G
646-68-6157,37,M,South Asian,Hispanic,22.6,142,69,79.2,M54.5,Z96.651,preventive,1.6,163.88,Private,Barrie,L3G
644-24-4274,50,M,White,Non-Hispanic,23.6,135,62,127.2,J06.9,Z96.651,emergency,0.3,234.85,Private,Barrie,L4G
301-23-6932,33,M,White,Non-Hispanic,35.4,119,93,102.3,E11.9,,inpatient,1.2,266.38,OHIP,Innisfil,L6G
915-53-7564,42,F,Latin American,Non-Hispanic,22.4,137,67,110.6,K21.0,Z96.651,outpatient,1.7,4238.93,WSIB,Keswick,L5G
342-38-6346,30,F,White,Non-Hispanic,45.7,134,70,89.3,E11.9,,inpatient,1.9,89.69,Private,King,L4G
600-93-2236,87,F,White,Non-Hispanic,27.9,149,96,115.8,E11.9,Z96.651,outpatient,0.9,98.0,OHIP,Richmond Hill,L6G
798-52-2042,52,F,Latin American,Non-Hispanic,20.7,125,74,104.8,N39.0,,outpatient,0.2,934.48,Workplace,Georgina,L5G
875-40-5106,39,M,Black,Non-Hispanic,38.9,125,78,105.4,E11.9,,preventive,2.1,754.28,OHIP,Georgina,L4G
107-34-4731,55,F,White,Non-Hispanic,23.5,135,82,81.2,E78.5,,emergency,1.3,378.45,OHIP,Newmarket,L5G
649-16-6492,49,M,White,Non-Hispanic,37.4,130,90,122.1,,Z79.4,outpatient,0.3,676.27,OHIP,Bradford,L3G
560-48-3302,48,F,White,Non-Hispanic,25.8,148,75,103.3,Z00.00,Z96.651,telehealth,5.5,185.41,OHIP,East Gwillimbury,L6G
685-81-1361,63,M,South Asian,Non-Hispanic,33.7,127,96,90.0,N39.0,Z79.4,preventive,6.2,742.89,OHIP,Bradford,L6G
473-29-1208,65,F,White,Non-Hispanic,23.4,151,64,87.4,M54.5,,inpatient,3.9,855.35,OHIP,Georgina,L6G
366-25-6092,42,M,White,Non-Hispanic,22.6,124,81,90.3,J44.1,Z96.641,inpatient,3.7,2857.32,OHIP,Georgina,L6G
653-61-5516,41,M,Arab,Non-Hispanic,21.6,128,68,79.7,M54.5,,preventive,0.2,6559.94,OHIP,Aurora,L4G
407-18-2513,47,F,South Asian,Non-Hispanic,29.6,139,89,109.8,I10,Z96.641,inpatient,10.0,482.44,OHIP,Richmond Hill,L3G
357-34-6351,10,M,White,Non-Hispanic,23.4,107,68,81.3,J44.1,Z96.651,inpatient,1.0,144.32,OHIP,Aurora,L5G
431-50-8154,24,M,White,Non-Hispanic,22.9,127,65,136.1,K21.0,Z96.651,emergency,0.4,1055.71,OHIP,Newmarket,L6G
442-90-6324,76,M,South Asian,Non-Hispanic,21.8,112,88,207.4,I10,Z96.651,outpatient,3.3,566.47,OHIP,Aurora,L6G
991-86-6669,81,M,White,Non-Hispanic,34.0,140,95,168.8,I10,,preventive,0.5,537.16,Private,East Gwillimbury,L4G
806-89-6161,47,F,White,Hispanic,32.8,123,84,107.1,E78.5,Z96.641,inpatient,1.5,96.23,Workplace,Innisfil,L4G
554-63-2855,62,F,Chinese,Non-Hispanic,33.7,127,75,85.3,E11.9,Z82.49,inpatient,0.3,748.7,OHIP,Newmarket,L4G
487-40-7780,57,F,White,Non-Hispanic,27.0,132,76,94.5,I10,Z96.641,outpatient,1.3,1104.81,OHIP,Innisfil,L3G
240-36-4386,95,F,South Asian,Non-Hispanic,48.4,164,96,73.3,E11.9,Z96.651,outpatient,1.6,2190.94,OHIP,Newmarket,L5G
420-73-7436,72,M,White,Hispanic,24.5,146,83,120.5,K21.0,Z82.49,outpatient,1.2,362.64,OHIP,Aurora,L3G
853-84-3939,49,F,White,Non-Hispanic,26.8,133,84,111.0,N39.0,,outpatient,0.1,247.04,Self-pay,Georgina,L6G
938-23-6725,34,M,White,Non-Hispanic,19.6,114,56,74.1,K21.0,Z82.49,emergency,1.3,359.19,OHIP,Innisfil,L4G
763-76-1175,23,M,White,Non-Hispanic,21.8,121,72,82.0,I10,Z87.891,outpatient,1.3,2039.41,OHIP,King,L6G
609-74-1837,55,F,White,Hispanic,27.6,135,77,203.1,K21.0,,outpatient,0.6,3509.85,OHIP,Newmarket,L5G
926-21-8845,38,M,White,Non-Hispanic,26.9,136,68,95.6,J06.9,Z79.4,inpatient,5.1,2553.42,Self-pay,Bradford,L5G
785-19-8688,26,F,Chinese,Non-Hispanic,35.2,133,69,84.7,J44.1,,inpatient,1.1,1446.97,OHIP,Keswick,L3G
186-61-4349,40,M,Other,Non-Hispanic,29.6,129,75,77.8,F32.1,Z96.651,outpatient,4.0,639.95,OHIP,King,L3G
338-82-3386,32,F,Chinese,Non-Hispanic,37.8,120,50,100.9,J06.9,Z79.4,outpatient,0.2,771.61,OHIP,King,L4G
171-77-2261,82,F,Filipino,Non-Hispanic,24.9,136,80,121.1,M54.5,Z87.891,preventive,0.8,919.15,OHIP,Barrie,L4G
565-38-6842,67,F,White,Non-Hispanic,24.5,131,75,95.8,N39.0,Z79.4,outpatient,0.4,491.5,Private,Barrie,L6G
873-78-5138,51,F,Other,Non-Hispanic,18.5,124,80,90.6,I10,Z96.651,preventive,1.0,1933.36,OHIP,Barrie,L4G
603-78-3119,78,F,White,Non-Hispanic,21.3,142,77,168.8,M54.5,Z87.891,outpatient,0.2,91.53,OHIP,Richmond Hill,L4G
190-46-1490,53,M,Arab,Non-Hispanic,23.8,138,76,78.5,F32.1,Z79.4,emergency,1.2,114.29,OHIP,Georgina,L6G
925-46-6585,36,F,Other,Hispanic,25.6,124,87,84.9,F32.1,,outpatient,0.9,91.34,OHIP,Bradford,L5G
253-51-8277,79,M,Black,Non-Hispanic,17.4,138,90,112.0,F32.1,Z96.641,preventive,0.5,254.01,OHIP,Keswick,L4G
250-56-7594,61,F,Other,Non-Hispanic,41.0,144,92,63.9,F41.1,Z82.49,outpatient,2.1,3345.69,OHIP,East Gwillimbury,L4G
742-21-7166,33,F,South Asian,Non-Hispanic,24.4,118,69,96.1,I50.9,,outpatient,6.0,159.69,OHIP,Innisfil,L6G
466-20-9169,48,F,White,Non-Hispanic,26.5,121,82,95.4,N39.0,Z87.891,outpatient,0.5,166.91,OHIP,King,L6G
919-59-4198,36,M,White,Non-Hispanic,26.1,107,72,96.8,K21.0,Z96.641,preventive,2.5,247.04,OHIP,Richmond Hill,L6G
640-79-6805,27,M,South Asian,Non-Hispanic,25.7,114,70,105.9,E11.9,Z96.651,preventive,2.7,2512.46,Private,Innisfil,L6G
755-60-5964,68,F,White,Non-Hispanic,30.2,145,87,95.9,E78.5,Z82.49,outpatient,1.4,3723.22,Workplace,Richmond Hill,L6G
622-20-4006,86,M,South Asian,Non-Hispanic,32.4,141,84,88.2,M54.5,,outpatient,4.6,2248.61,Private,Aurora,L4G
536-98-9505,26,M,Other,Non-Hispanic,22.8,117,83,85.2,I10,Z87.891,emergency,6.8,2422.25,OHIP,Richmond Hill,L3G
118-41-1121,62,M,White,Non-Hispanic,27.0,140,80,114.5,E11.9,Z82.49,preventive,0.9,4828.46,OHIP,Aurora,L3G
171-64-7603,40,F,Chinese,Non-Hispanic,24.6,131,80,110.6,E11.9,,inpatient,2.1,77.03,OHIP,Aurora,L3G
268-79-5724,43,F,Latin American,Hispanic,26.1,117,88,138.2,E11.9,,telehealth,2.2,152.95,OHIP,East Gwillimbury,L4G
125-10-7864,41,M,Arab,Non-Hispanic,25.3,137,84,90.8,E11.9,,outpatient,1.0,286.9,Private,Keswick,L5G
326-36-2729,36,M,Other,Hispanic,25.1,136,63,85.4,E11.9,Z87.891,outpatient,0.8,753.31,Private,East Gwillimbury,L4G
583-74-6129,52,M,South Asian,Non-Hispanic,31.0,123,83,101.8,E78.5,Z87.891,outpatient,5.4,750.38,Private,Richmond Hill,L3G
194-46-8668,37,F,Other,Hispanic,23.6,116,81,101.4,I10,Z79.4,emergency,3.1,764.56,OHIP,Georgina,L3G
144-97-2050,56,F,Black,Non-Hispanic,29.0,146,87,104.5,J44.1,Z82.49,outpatient,0.2,1809.97,Private,Aurora,L6G
804-93-4207,51,M,White,Non-Hispanic,21.2,127,68,107.7,I50.9,,outpatient,0.3,66.59,Workplace,Keswick,L6G
806-58-8674,47,M,White,Non-Hispanic,28.8,109,73,119.7,E11.9,,outpatient,5.1,562.06,OHIP,Richmond Hill,L6G
220-98-5721,35,M,Black,Non-Hispanic,23.0,109,81,111.1,ZZZ999,,inpatient,0.2,914.82,OHIP,King,L4G
625-71-2066,41,F,White,Non-Hispanic,28.0,125,70,113.1,N39.0,Z82.49,outpatient,2.3,450.07,OHIP,Keswick,L5G
851-36-2918,65,F,South Asian,Non-Hispanic,19.8,122,77,113.4,J44.1,,outpatient,0.5,834.61,OHIP,King,L5G
341-84-9431,61,M,South Asian,Non-Hispanic,25.8,131,93,61.1,E11.9,,preventive,0.1,2268.0,Workplace,Aurora,L6G
403-76-8448,34,M,White,Non-Hispanic,21.8,122,72,98.5,E11.9,Z96.641,outpatient,0.1,716.71,OHIP,Innisfil,L5G
291-33-4848,53,M,South Asian,Non-Hispanic,30.4,149,74,171.0,J44.1,,outpatient,0.9,8650.24,OHIP,Bradford,L3G
491-68-2552,65,F,Black,Non-Hispanic,24.7,133,74,110.8,E11.9,,emergency,0.2,2081.96,OHIP,Aurora,L3G
270-77-9548,21,M,White,Non-Hispanic,27.0,130,74,60.8,I10,,preventive,1.8,915.39,OHIP,Barrie,L6G
747-51-2328,61,F,White,Non-Hispanic,21.5,147,69,117.0,E11.9,,inpatient,2.1,1217.4,OHIP,Barrie,L6G
105-82-4241,40,F,White,Non-Hispanic,26.6,141,74,82.0,J06.9,Z96.651,outpatient,0.9,1622.92,WSIB,Georgina,L6G
899-24-4140,62,M,White,Non-Hispanic,23.7,137,83,78.6,E11.9,Z96.641,preventive,2.7,5026.64,OHIP,Keswick,L5G
981-36-4557,38,M,Latin American,Non-Hispanic,38.3,112,89,100.3,E78.5,Z79.4,inpatient,1.3,2722.07,Private,Bradford,L4G
542-37-8063,19,M,White,Non-Hispanic,31.1,125,77,89.4,I10,Z87.891,outpatient,1.1,1232.8,Private,King,L6G
150-30-2950,22,F,South Asian,Non-Hispanic,26.8,130,65,121.7,I50.9,,inpatient,1.0,277.44,OHIP,Newmarket,L5G
686-59-4163,52,F,White,Non-Hispanic,23.8,129,87,115.4,ZZZ999,,emergency,1.1,1094.35,Self-pay,Barrie,L6G
467-49-5675,56,F,White,Non-Hispanic,29.6,152,78,87.3,K21.0,,inpatient,6.9,1332.38,OHIP,Bradford,L4G
846-25-7219,35,F,Chinese,Non-Hispanic,34.5,137,67,110.6,J44.1,Z79.4,telehealth,2.3,1691.59,OHIP,Georgina,L6G
185-72-8735,63,M,Black,Non-Hispanic,23.0,140,79,86.8,J06.9,Z79.4,inpatient,0.8,275.7,OHIP,Richmond Hill,L3G
691-33-3075,22,F,White,Non-Hispanic,40.1,137,87,121.5,E11.9,Z96.641,preventive,2.6,1612.73,OHIP,Bradford,L6G
220-94-3022,50,F,White,Non-Hispanic,23.2,132,78,105.7,M54.5,,inpatient,0.8,1738.22,OHIP,Richmond Hill,L3G
130-24-8394,30,M,White,Non-Hispanic,23.0,96,72,116.8,E11.9,Z87.891,outpatient,0.3,155.74,Private,Keswick,L3G
969-59-7011,40,F,White,Non-Hispanic,26.9,122,89,88.4,M54.5,Z96.651,inpatient,1.3,157.32,OHIP,East Gwillimbury,L5G
488-57-4359,52,F,South Asian,Non-Hispanic,34.2,147,69,89.5,E11.9,Z79.4,outpatient,2.8,2544.32,OHIP,Richmond Hill,L5G
806-88-6110,36,F,White,Non-Hispanic,26.5,117,64,99.5,F32.1,Z96.651,outpatient,0.9,238.36,OHIP,Keswick,L3G
574-39-2029,45,F,White,Non-Hispanic,24.5,126,63,81.6,E11.9,Z87.891,emergency,4.1,4210.27,OHIP,Aurora,L3G
892-37-2981,70,F,White,Non-Hispanic,38.5,134,90,118.5,I10,Z87.891,emergency,1.0,475.93,OHIP,Keswick,L6G
761-77-4470,41,F,Latin American,Non-Hispanic,28.6,146,78,81.4,J06.9,,outpatient,0.9,1055.58,OHIP,King,L6G
381-72-5680,67,M,Other,Hispanic,26.7,154,95,85.5,ZZZ999,Z96.641,outpatient,12.7,995.81,OHIP,Bradford,L3G
929-77-1815,31,M,White,Non-Hispanic,38.6,120,79,168.1,F32.1,,outpatient,1.3,282.21,OHIP,Innisfil,L5G
533-72-6612,61,F,Black,Hispanic,24.2,135,77,98.2,K21.0,Z82.49,preventive,3.3,3528.22,OHIP,East Gwillimbury,L6G
745-67-3037,77,M,White,Non-Hispanic,25.2,134,84,124.2,M54.5,,outpatient,3.3,476.48,Workplace,Richmond Hill,L6G
406-21-8086,7,M,White,Non-Hispanic,33.0,123,70,221.5,M54.5,,emergency,5.2,713.76,OHIP,East Gwillimbury,L6G
225-18-1006,37,M,Black,Non-Hispanic,39.1,137,65,132.8,E11.9,Z96.641,inpatient,0.2,61.65,OHIP,Bradford,L5G
512-87-4250,62,M,Latin American,Non-Hispanic,37.9,149,106,104.2,E11.9,,inpatient,0.6,133.8,Private,Bradford,L3G
567-64-6087,48,F,Arab,Non-Hispanic,21.7,131,80,83.7,,Z96.651,outpatient,2.9,2572.3,OHIP,Richmond Hill,L6G
542-65-4299,58,F,South Asian,Non-Hispanic,25.1,163,81,83.5,F32.1,,outpatient,1.7,660.74,OHIP,Georgina,L5G
847-27-8737,41,M,White,Non-Hispanic,32.0,120,82,73.1,N39.0,,preventive,1.6,329.42,OHIP,Innisfil,L5G
395-98-6047,53,M,Chinese,Hispanic,33.4,118,86,74.8,M54.5,Z96.641,emergency,0.4,335.83,Private,Richmond Hill,L5G
774-35-5547,49,M,White,Non-Hispanic,16.8,122,74,85.1,J44.1,Z87.891,emergency,0.7,1284.73,Private,Newmarket,L5G
205-93-4489,73,F,South Asian,Non-Hispanic,22.8,122,78,80.1,J44.1,,emergency,1.5,3018.29,Private,East Gwillimbury,L6G
431-25-6161,56,F,White,Non-Hispanic,26.7,118,84,56.3,J06.9,Z79.4,outpatient,0.6,338.97,OHIP,Newmarket,L3G
744-70-8723,58,M,South Asian,Non-Hispanic,25.6,123,83,116.3,E11.9,,outpatient,0.5,2477.57,Workplace,East Gwillimbury,L3G
134-10-4809,44,F,White,Non-Hispanic,26.3,119,70,106.6,J44.1,,preventive,0.2,548.9,OHIP,Aurora,L5G
910-41-2894,43,F,White,Non-Hispanic,23.2,117,87,99.6,F32.1,,preventive,0.3,1212.91,OHIP,East Gwillimbury,L3G
132-86-8788,44,F,Latin American,Hispanic,20.2,130,77,78.0,K92.1,,emergency,2.9,79.04,OHIP,Bradford,L6G
933-39-7409,59,F,White,Non-Hispanic,34.2,133,88,119.7,J44.1,Z82.49,inpatient,2.5,97.09,OHIP,Keswick,L3G
122-48-5268,44,M,White,Non-Hispanic,21.5,124,86,92.3,N39.0,Z87.891,outpatient,0.1,1779.53,OHIP,Newmarket,L3G
859-38-1413,57,F,White,Non-Hispanic,30.6,145,81,82.5,E11.9,,outpatient,0.5,925.13,OHIP,Newmarket,L4G
773-61-7148,89,M,White,Non-Hispanic,25.7,138,90,98.5,E11.9,,emergency,1.6,1079.67,OHIP,Barrie,L3G
750-95-6791,67,F,White,Non-Hispanic,34.6,139,91,97.6,F41.1,,preventive,0.8,182.27,OHIP,East Gwillimbury,L3G
238-26-3719,46,F,White,Non-Hispanic,22.2,131,70,57.5,E78.5,Z79.4,outpatient,3.5,400.74,Private,Innisfil,L5G
694-36-5895,73,F,Filipino,Non-Hispanic,23.7,119,83,94.5,I10,Z96.651,outpatient,3.1,89.42,OHIP,King,L5G
416-34-9767,44,F,White,Non-Hispanic,23.3,103,76,186.5,M54.5,Z96.651,outpatient,4.4,240.58,OHIP,Newmarket,L4G
803-37-6543,15,M,Arab,Non-Hispanic,32.7,123,63,89.3,E11.9,Z96.651,outpatient,1.7,647.14,OHIP,East Gwillimbury,L6G
599-23-9191,33,F,South Asian,Non-Hispanic,35.5,133,95,75.2,K21.0,Z96.641,inpatient,0.9,985.74,OHIP,Bradford,L4G
141-48-2360,18,F,White,Non-Hispanic,31.4,141,60,75.6,E11.9,Z96.651,telehealth,1.9,282.73,OHIP,King,L3G
100-41-7098,45,F,South Asian,Non-Hispanic,29.7,132,67,102.7,E78.5,Z96.651,preventive,0.2,1290.24,Private,Georgina,L3G
224-73-1205,52,M,White,Non-Hispanic,32.4,143,91,106.4,M54.5,Z96.641,preventive,0.0,635.28,OHIP,Keswick,L6G
514-67-4315,82,M,Black,Non-Hispanic,26.3,141,92,88.3,I10,,inpatient,0.0,507.19,OHIP,East Gwillimbury,L6G
689-23-4012,57,M,White,Non-Hispanic,22.2,134,70,100.7,J45.901,,inpatient,1.0,735.36,OHIP,Aurora,L5G
665-22-8547,48,F,White,Non-Hispanic,25.1,146,82,88.1,K92.1,,telehealth,0.5,8263.0,Private,King,L3G
947-88-7558,66,F,Latin American,Non-Hispanic,24.9,115,93,129.9,I10,Z79.4,outpatient,0.3,548.28,OHIP,Georgina,L3G
552-30-5734,12,M,Arab,Non-Hispanic,18.3,116,66,98.2,I50.9,Z87.891,preventive,1.9,2085.35,OHIP,East Gwillimbury,L3G
769-32-4228,56,F,Latin American,Non-Hispanic,31.5,157,102,77.8,E78.5,,emergency,10.6,1281.19,OHIP,East Gwillimbury,L3G
432-41-2725,65,F,White,Non-Hispanic,40.3,146,72,123.4,E78.5,Z82.49,outpatient,0.4,493.84,Private,King,L3G
717-54-8216,25,F,Chinese,Non-Hispanic,22.8,135,76,129.9,E66.9,,inpatient,1.6,103.51,Workplace,King,L3G
260-13-2425,72,F,White,Non-Hispanic,20.7,130,91,177.8,M54.5,,outpatient,0.3,313.35,OHIP,King,L3G
809-73-3522,58,F,White,Non-Hispanic,28.0,134,88,97.3,K21.0,,outpatient,5.4,728.99,Private,Richmond Hill,L3G
865-65-5684,44,F,White,Hispanic,24.3,128,74,95.9,I50.9,Z96.651,outpatient,0.7,586.56,OHIP,Keswick,L5G
